+-----+----------------------------------------+-----------------+
| id  |                 title                  | production_code |
+-----+----------------------------------------+-----------------+
| 1   | Lost My Marbles                        | CYB001          |
| 6   | Zeus on the Loose                      | CYB002          |
| 8   | And They Counted Happily Ever After    | CYB003          |
| 3   | R-Fair City                            | CYB004          |
| 5   | Sensible Flats                         | CYB005          |
| 7   | The Poddleville Case                   | CYB006          |
| 4   | Snow Day to be Exact                   | CYB007          |
| 10  | Secrets of Symmetria                   | CYB008          |
| 9   | Clock Like An Egyptian                 | CYB009          |
| 2   | Castleblanca                           | CYB010          |
| 11  | A Day at the Spa                       | CYB011          |
| 17  | Return to Sensible Flats               | CYB012          |
| 21  | Less Than Zero                         | CYB013          |
| 14  | Cool It                                | CYB014          |
| 13  | Eureeka                                | CYB015          |
| 18  | Problem Solving in Shangri-La          | CYB016          |
| 15  | Find Those Gleamers                    | CYB017          |
| 12  | Of All The Luck                        | CYB018          |
| 16  | Codename: Icky                         | CYB019          |
| 19  | Send in the Clones                     | CYB020          |
| 20  | Trading Places                         | CYB021          |
| 26  | Out of Sync                            | CYB022          |
| 22  | Model Behavior                         | CYB023          |
| 23  | Fortress of Attitude                   | CYB024          |
| 24  | Size Me Up                             | CYB025          |
| 25  | A Battle of Equals                     | CYB026          |
| 29  | Harriet Hippo & the Mean Green         | CYB027          |
| 30  | True Colors                            | CYB028          |
| 27  | Hugs & Witches                         | CYB029          |
| 28  | Totally Rad                            | CYB030          |
| 31  | All the Right Angles                   | CYB031          |
| 33  | The Eye of Rom                         | CYB032          |
| 32  | Mother's Day                           | CYB033          |
| 40  | Trick or Treat                         | CYB034          |
| 34  | A Whale of a Tale                      | CYB035          |
| 35  | Double Trouble                         | CYB036          |
| 36  | Raising the Bar                        | CYB037          |
| 39  | A Time to Cook                         | CYB038          |
| 38  | The Guilty Party                       | CYB039          |
| 37  | The Wedding Scammer                    | CYB040          |
| 42  | The Borg of the Ring                   | CYB041          |
| 43  | A World Without Zero                   | CYB042          |
| 41  | EcoHaven CSE                           | CYB043          |
| 44  | A Piece of the Action                  | CYB044          |
| 46  | The Grapes of Plath                    | CYB045          |
| 45  | The Creech Who Would be Crowned        | CYB046          |
| 48  | Be Reasonable                          | CYB047          |
| 51  | Shari Spotter and the Cosmic Crumpets  | CYB048          |
| 52  | Starlight Night                        | CYB049          |
| 47  | A Perfect Fit                          | CYB050          |
| 49  | The Snelfu Snafu                       | CYB051          |
| 50  | The Snelfu Snafu                       | CYB052          |
| 60  | A Crinkle In Time                      | CYB053          |
| 54  | The Icky Factor                        | CYB054          |
| 59  | The Case of the Missing Memory         | CYB055          |
| 53  | Balancing Act                          | CYB056          |
| 55  | Penguin Tears                          | CYB057          |
| 58  | A Change of Art                        | CYB058          |
| 56  | Past Perfect Prediction                | CYB059          |
| 61  | A Broom Of One's Own                   | CYB060          |
| 57  | Measure For Measure                    | CYB061          |
| 62  | A Tikiville Turkey Day                 | CYB062          |
