+----------+-----------+--------+
| latitude | longitude |  50m   |
+----------+-----------+--------+
| 0.5      | 55.5      | 26.635 |
| 0.5      | 56.5      | 26.767 |
| 0.5      | 57.5      | 26.898 |
| 0.5      | 58.5      | 27.042 |
| 0.5      | 59.5      | 27.208 |
| 0.5      | 60.5      | 27.379 |
| 0.5      | 61.5      | 27.528 |
| 0.5      | 62.5      | 27.644 |
| 0.5      | 63.5      | 27.733 |
| 0.5      | 64.5      | 27.809 |
| 0.5      | 65.5      | 27.875 |
| 0.5      | 66.5      | 27.932 |
| 0.5      | 67.5      | 27.979 |
| 0.5      | 68.5      | 28.023 |
| 0.5      | 69.5      | 28.07  |
| 0.5      | 70.5      | 28.119 |
| 0.5      | 71.5      | 28.162 |
| 0.5      | 72.5      | 28.197 |
| 0.5      | 73.5      | 28.226 |
| 0.5      | 74.5      | 28.255 |
| 1.5      | 55.5      | 26.679 |
| 1.5      | 56.5      | 26.849 |
| 1.5      | 57.5      | 27.017 |
| 1.5      | 58.5      | 27.189 |
| 1.5      | 59.5      | 27.37  |
| 1.5      | 60.5      | 27.547 |
| 1.5      | 61.5      | 27.701 |
| 1.5      | 62.5      | 27.819 |
| 1.5      | 63.5      | 27.905 |
| 1.5      | 64.5      | 27.967 |
| 1.5      | 65.5      | 28.012 |
| 1.5      | 66.5      | 28.044 |
| 1.5      | 67.5      | 28.069 |
| 1.5      | 68.5      | 28.098 |
| 1.5      | 69.5      | 28.137 |
| 1.5      | 70.5      | 28.18  |
| 1.5      | 71.5      | 28.218 |
| 1.5      | 72.5      | 28.248 |
| 1.5      | 73.5      | 28.27  |
| 1.5      | 74.5      | 28.286 |
| 2.5      | 55.5      | 26.733 |
| 2.5      | 56.5      | 26.927 |
| 2.5      | 57.5      | 27.122 |
| 2.5      | 58.5      | 27.313 |
| 2.5      | 59.5      | 27.503 |
| 2.5      | 60.5      | 27.685 |
| 2.5      | 61.5      | 27.843 |
| 2.5      | 62.5      | 27.966 |
| 2.5      | 63.5      | 28.054 |
| 2.5      | 64.5      | 28.11  |
| 2.5      | 65.5      | 28.143 |
| 2.5      | 66.5      | 28.161 |
| 2.5      | 67.5      | 28.173 |
| 2.5      | 68.5      | 28.192 |
| 2.5      | 69.5      | 28.221 |
| 2.5      | 70.5      | 28.251 |
| 2.5      | 71.5      | 28.274 |
| 2.5      | 72.5      | 28.284 |
| 2.5      | 73.5      | 28.279 |
| 2.5      | 74.5      | 28.265 |
| 3.5      | 55.5      | 26.772 |
| 3.5      | 56.5      | 26.976 |
| 3.5      | 57.5      | 27.183 |
| 3.5      | 58.5      | 27.385 |
| 3.5      | 59.5      | 27.582 |
| 3.5      | 60.5      | 27.769 |
| 3.5      | 61.5      | 27.934 |
| 3.5      | 62.5      | 28.066 |
| 3.5      | 63.5      | 28.161 |
| 3.5      | 64.5      | 28.221 |
| 3.5      | 65.5      | 28.255 |
| 3.5      | 66.5      | 28.273 |
| 3.5      | 67.5      | 28.286 |
| 3.5      | 68.5      | 28.303 |
| 3.5      | 69.5      | 28.325 |
| 3.5      | 70.5      | 28.339 |
| 3.5      | 71.5      | 28.339 |
| 3.5      | 72.5      | 28.314 |
| 3.5      | 73.5      | 28.266 |
| 3.5      | 74.5      | 28.201 |
| 4.5      | 55.5      | 26.791 |
| 4.5      | 56.5      | 26.987 |
| 4.5      | 57.5      | 27.195 |
| 4.5      | 58.5      | 27.401 |
| 4.5      | 59.5      | 27.603 |
| 4.5      | 60.5      | 27.796 |
| 4.5      | 61.5      | 27.969 |
| 4.5      | 62.5      | 28.112 |
| 4.5      | 63.5      | 28.218 |
| 4.5      | 64.5      | 28.289 |
| 4.5      | 65.5      | 28.334 |
| 4.5      | 66.5      | 28.363 |
| 4.5      | 67.5      | 28.387 |
| 4.5      | 68.5      | 28.411 |
| 4.5      | 69.5      | 28.429 |
| 4.5      | 70.5      | 28.43  |
| 4.5      | 71.5      | 28.404 |
| 4.5      | 72.5      | 28.338 |
| 4.5      | 73.5      | 28.232 |
| 4.5      | 74.5      | 28.1   |
| 5.5      | 55.5      | 26.789 |
| 5.5      | 56.5      | 26.969 |
| 5.5      | 57.5      | 27.168 |
