+----------------------------------------------------------------------------------------------+--------+
|                                             name                                             | pupils |
+----------------------------------------------------------------------------------------------+--------+
| Abby Kelley Foster Charter Public (District)                                                 | 1424   |
| Abington                                                                                     | 2244   |
| Academy Of the Pacific Rim Charter Public (District)                                         | 539    |
| Acton-Boxborough                                                                             | 5345   |
| Acushnet                                                                                     | 1235   |
| Advanced Math and Science Academy Charter (District)                                         | 964    |
| Agawam                                                                                       | 3629   |
| Alma del Mar Charter School (District)                                                       | 788    |
| Amesbury                                                                                     | 2037   |
| Amherst                                                                                      | 1135   |
| Amherst-Pelham                                                                               | 1433   |
| Andover                                                                                      | 5692   |
| Argosy Collegiate Charter School (District)                                                  | 569    |
| Arlington                                                                                    | 5865   |
| Ashburnham-Westminster                                                                       | 2303   |
| Ashland                                                                                      | 2809   |
| Assabet Valley Regional Vocational Technical                                                 | 1148   |
| Athol-Royalston                                                                              | 1767   |
| Atlantis Charter (District)                                                                  | 1296   |
| Attleboro                                                                                    | 6203   |
| Auburn                                                                                       | 2574   |
| Avon                                                                                         | 712    |
| Ayer Shirley School District                                                                 | 1830   |
| Barnstable                                                                                   | 5306   |
| Baystate Academy Charter Public School (District)                                            | 474    |
| Bedford                                                                                      | 2673   |
| Belchertown                                                                                  | 2338   |
| Bellingham                                                                                   | 2288   |
| Belmont                                                                                      | 4537   |
| Benjamin Banneker Charter Public (District)                                                  | 341    |
| Benjamin Franklin Classical Charter Public (District)                                        | 774    |
| Berkley                                                                                      | 868    |
| Berkshire Arts and Technology Charter Public (District)                                      | 371    |
| Berkshire Hills                                                                              | 1268   |
| Berlin-Boylston                                                                              | 1093   |
| Beverly                                                                                      | 4825   |
| Billerica                                                                                    | 4802   |
| Blackstone Valley Regional Vocational Technical                                              | 1248   |
| Blackstone-Millville                                                                         | 1747   |
| Blue Hills Regional Vocational Technical                                                     | 893    |
| Boston                                                                                       | 63065  |
| Boston Collegiate Charter (District)                                                         | 721    |
| Boston Day and Evening Academy Charter (District)                                            | 386    |
| Boston Green Academy Horace Mann Charter School (District)                                   | 496    |
| Boston Preparatory Charter Public (District)                                                 | 666    |
| Boston Renaissance Charter Public (District)                                                 | 945    |
| Bourne                                                                                       | 1931   |
| Boxford                                                                                      | 700    |
| Braintree                                                                                    | 5628   |
| Brewster                                                                                     | 444    |
| Bridge Boston Charter School (District)                                                      | 337    |
| Bridgewater-Raynham                                                                          | 5598   |
| Brimfield                                                                                    | 272    |
| Bristol County Agricultural                                                                  | 441    |
| Bristol-Plymouth Regional Vocational Technical                                               | 1332   |
| Brockton                                                                                     | 17023  |
| Brooke Charter School (District)                                                             | 2063   |
| Brookfield                                                                                   | 276    |
| Brookline                                                                                    | 6899   |
| Burlington                                                                                   | 3519   |
| Cambridge                                                                                    | 7292   |
| Canton                                                                                       | 3261   |
| Cape Cod Lighthouse Charter (District)                                                       | 254    |
| Cape Cod Regional Vocational Technical                                                       | 629    |
| Carlisle                                                                                     | 598    |
| Carver                                                                                       | 1580   |
| Central Berkshire                                                                            | 1758   |
| Chelmsford                                                                                   | 5068   |
| Chelsea                                                                                      | 7138   |
| Chesterfield-Goshen                                                                          | 126    |
| Chicopee                                                                                     | 7424   |
| Christa McAuliffe Charter School (District)                                                  | 399    |
| City on a Hill Charter Public School (District)                                              | 300    |
| Clarksburg                                                                                   | 232    |
| Clinton                                                                                      | 2144   |
| Codman Academy Charter Public (District)                                                     | 347    |
| Cohasset                                                                                     | 1462   |
| Collegiate Charter School of Lowell (District)                                               | 1019   |
| Community Charter School of Cambridge (District)                                             | 305    |
| Community Day Charter Public School (District)                                               | 400    |
| Concord                                                                                      | 2038   |
| Concord-Carlisle                                                                             | 1348   |
| Conservatory Lab Charter (District)                                                          | 455    |
| Conway                                                                                       | 135    |
| Danvers                                                                                      | 3430   |
| Dartmouth                                                                                    | 3541   |
| Dedham                                                                                       | 2659   |
| Deerfield                                                                                    | 351    |
| Dennis-Yarmouth                                                                              | 3300   |
| Dighton-Rehoboth                                                                             | 2722   |
| Douglas                                                                                      | 1242   |
| Dover                                                                                        | 493    |
| Dover-Sherborn                                                                               | 1220   |
| Dracut                                                                                       | 4057   |
| Dudley Street Neighborhood Charter School (District)                                         | 280    |
| Dudley-Charlton Reg                                                                          | 3588   |
| Duxbury                                                                                      | 2845   |
| East Bridgewater                                                                             | 2170   |
| East Longmeadow                                                                              | 2494   |
| Eastham                                                                                      | 206    |
| Easthampton                                                                                  | 1758   |
| Easton                                                                                       | 3480   |
| Edgartown                                                                                    | 440    |
| Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District) | 395    |
