+-------------+---------------+----------+------+----+
| first_name  |   last_name   |  salary  | year | HR |
+-------------+---------------+----------+------+----+
| Don         | Aase          | 400000   | 1989 | 0  |
| Don         | Aase          | 675000   | 1988 | 0  |
| Don         | Aase          | 625000   | 1987 | 0  |
| Don         | Aase          | 600000   | 1986 | 0  |
| Jeff        | Abbott        | 300000   | 2001 | 0  |
| Jeff        | Abbott        | 255000   | 2000 | 3  |
| Jeff        | Abbott        | 255000   | 1999 | 2  |
| Jeff        | Abbott        | 175000   | 1998 | 12 |
| Jim         | Abbott        | 400000   | 1999 | 0  |
| Jim         | Abbott        | 2200000  | 1996 | 0  |
| Jim         | Abbott        | 2775000  | 1995 | 0  |
| Jim         | Abbott        | 2775000  | 1995 | 0  |
| Jim         | Abbott        | 2775000  | 1994 | 0  |
| Jim         | Abbott        | 2350000  | 1993 | 0  |
| Jim         | Abbott        | 1850000  | 1992 | 0  |
| Jim         | Abbott        | 357500   | 1991 | 0  |
| Jim         | Abbott        | 185000   | 1990 | 0  |
| Jim         | Abbott        | 68000    | 1989 | 0  |
| Kurt        | Abbott        | 600000   | 2001 | 0  |
| Kurt        | Abbott        | 500000   | 2000 | 6  |
| Kurt        | Abbott        | 900000   | 1999 | 8  |
| Kurt        | Abbott        | 1000000  | 1998 | 3  |
| Kurt        | Abbott        | 1000000  | 1998 | 2  |
| Kurt        | Abbott        | 650000   | 1997 | 6  |
| Kurt        | Abbott        | 250000   | 1996 | 8  |
| Kurt        | Abbott        | 119000   | 1995 | 17 |
| Kurt        | Abbott        | 109000   | 1994 | 9  |
| Kurt        | Abbott        | 109000   | 1993 | 3  |
| Kyle        | Abbott        | 150000   | 1995 | 0  |
| Kyle        | Abbott        | 109000   | 1992 | 0  |
| Paul        | Abbott        | 1700000  | 2001 | 0  |
| Paul        | Abbott        | 285000   | 2000 | 0  |
| Paul        | Abbott        | 235000   | 1999 | 0  |
| Paul        | Abbott        | 126000   | 1992 | 0  |
| Paul        | Abbott        | 100000   | 1990 | 0  |
| Shawn       | Abner         | 297500   | 1992 | 1  |
| Shawn       | Abner         | 180000   | 1991 | 2  |
| Shawn       | Abner         | 180000   | 1991 | 1  |
| Shawn       | Abner         | 105000   | 1990 | 1  |
| Shawn       | Abner         | 77500    | 1989 | 2  |
| Shawn       | Abner         | 63500    | 1988 | 2  |
| Bobby       | Abreu         | 4983000  | 2001 | 31 |
| Bobby       | Abreu         | 2933333  | 2000 | 25 |
| Bobby       | Abreu         | 400000   | 1999 | 20 |
| Bobby       | Abreu         | 180000   | 1998 | 17 |
| Bobby       | Abreu         | 150000   | 1997 | 3  |
| Juan        | Acevedo       | 612500   | 2000 | 0  |
| Juan        | Acevedo       | 475000   | 1999 | 0  |
| Juan        | Acevedo       | 200000   | 1998 | 0  |
| Juan        | Acevedo       | 109000   | 1995 | 0  |
| Jim         | Acker         | 275000   | 1992 | 0  |
| Jim         | Acker         | 700000   | 1990 | 0  |
| Jim         | Acker         | 688000   | 1989 | 0  |
| Jim         | Acker         | 688000   | 1989 | 0  |
| Jim         | Acker         | 435000   | 1988 | 0  |
| Jim         | Acker         | 350000   | 1987 | 0  |
| Jim         | Acker         | 367500   | 1986 | 0  |
| Jim         | Acker         | 367500   | 1986 | 0  |
| Jim         | Acker         | 170000   | 1985 | 0  |
| Mark        | Acre          | 165000   | 1997 | 0  |
| Mark        | Acre          | 140000   | 1996 | 0  |
| Mark        | Acre          | 120000   | 1995 | 0  |
| Mark        | Acre          | 109000   | 1994 | 0  |
| Joel        | Adamson       | 210000   | 1998 | 0  |
| Joel        | Adamson       | 151000   | 1997 | 0  |
| Terry       | Adams         | 2600000  | 2001 | 0  |
| Terry       | Adams         | 1400000  | 2000 | 0  |
| Terry       | Adams         | 736000   | 1999 | 0  |
| Terry       | Adams         | 295000   | 1998 | 0  |
| Terry       | Adams         | 215000   | 1997 | 0  |
| Terry       | Adams         | 113000   | 1996 | 0  |
| Terry       | Adams         | 109000   | 1995 | 0  |
| Willie      | Adams         | 157500   | 1997 | 0  |
| Willie      | Adams         | 109000   | 1996 | 0  |
| Troy        | Afenir        | 130000   | 1992 | 0  |
| Troy        | Afenir        | 100000   | 1990 | 0  |
| Benny       | Agbayani      | 260000   | 2001 | 6  |
| Benny       | Agbayani      | 220000   | 2000 | 15 |
| Benny       | Agbayani      | 200000   | 1999 | 14 |
| Juan        | Agosto        | 1666667  | 1992 | 0  |
| Juan        | Agosto        | 1666667  | 1992 | 0  |
| Juan        | Agosto        | 1166667  | 1991 | 0  |
| Juan        | Agosto        | 850000   | 1990 | 0  |
| Juan        | Agosto        | 610000   | 1989 | 0  |
| Juan        | Agosto        | 157500   | 1988 | 0  |
| Juan        | Agosto        | 100000   | 1987 | 0  |
| Juan        | Agosto        | 147500   | 1985 | 0  |
| Luis        | Aguayo        | 275000   | 1989 | 1  |
| Luis        | Aguayo        | 375000   | 1988 | 3  |
| Luis        | Aguayo        | 375000   | 1988 | 3  |
| Luis        | Aguayo        | 325000   | 1987 | 12 |
| Luis        | Aguayo        | 275000   | 1986 | 4  |
| Luis        | Aguayo        | 237000   | 1985 | 6  |
| Rick        | Aguilera      | 3500000  | 2000 | 0  |
| Rick        | Aguilera      | 4300000  | 1999 | 0  |
| Rick        | Aguilera      | 4300000  | 1999 | 0  |
